bioID,pos,height,weight,birthDate
thirdtr01w,F,180,72,1968-02-27
thomaca01w,F,190,90,1985-10-31
thomach01w,C,190,83,1982-08-14
thomaja01w,G,175,65,1989-09-30
thomakr01w,C,195,88,1989-06-10
thomala01w,F,187,74,1981-07-06
thomast01w,F,177,69,1978-08-29
thompal01w,F,185,81,1976-06-30
thompam01w,F,185,77,1987-11-18
thomppa01w,F,185,87,1975-01-16
thompti01w,F,187,80,1975-02-10
thorbsh01w,G,175,67,1982-08-07
thorner01w,G,177,68,1981-05-19
threaro01w,G,170,68,1970-07-01
tilliic01w,C-F,195,74,1981-12-06
timmsmi01w,G,170,59,1965-06-28
tolerpe01w,G,172,59,1966-03-24
tolivkr01w,G,170,58,1987-01-27
torniel01w,F,185,72,1965-05-27
torrele01w,C,190,77,1978-04-06
traviti01w,G-F,180,65,1978-03-20
tremich01w,G,167,64,1969-10-20
tricetr01w,F-C,187,81,1965-08-04
tunsine01w,G-F,185,77,1970-08-22
turneba01w,G-F,182,78,1984-06-08
tutermo01w,G,182,70,1975-08-25
tuvicsl01w,C,193,87,1977-09-19
tzekopo01w,C,193,85,1968-04-30
udokamf01w,F,182,84,1976-06-16
ujhelpe01w,F-C,193,90,1980-12-17
umoh-it01w,G,170,63,1977-02-21
valdeam01w,F,185,72,1976-08-18
vandeco01w,G,172,58,1989-02-08
vanemal01w,F,190,79,1968-04-14
vangomi01w,C,198,84,1977-05-10
vaughki01w,C,193,94,1987-01-24
vaughkr01w,F,185,72,1986-09-08
vealkr01w,G,177,68,1981-07-24
veselja01w,F,190,88,1983-12-31
vidicbo01w,G,175,60,1973-01-07
viglida01w,G,177,71,1975-03-07
vilipda01w,F-C,193,93,1975-03-30
vodicka01w,F-C,193,86,1972-12-19
vodopna01w,F,190,82,1981-04-06
voigtka01w,G,185,73,1975-04-07
vukadmi01w,G,185,68,1968-11-18
walkeas01w,F-C,185,90,1987-02-24
walkeay01w,F,190,64,1979-09-10
walkede01w,F,190,76,1977-11-28
walkema01w,C,190,114,1986-10-17
walsema01w,F,187,83,1978-10-28
wardvo01w,C,198,77,1973-03-16
warleav01w,C,190,81,1987-05-17
washico01w,G,167,62,1971-01-17
washito01w,F,180,72,1977-12-30
wautean01w,C,193,87,1980-10-12
weathte01w,G,172,73,1965-12-08
webbum01w,G-F,177,73,1975-06-26
weberma01w,C,195,90,1982-06-01
weckeke01w,F,185,78,1982-12-16
whaleli01w,G,172,68,1982-05-09
whitede01w,F,180,81,1980-04-03
whiteer01w,G,160,61,1986-08-26
whiteta01w,G,170,69,1982-09-27
whitiva01w,C-F,187,90,1972-04-09
whitmta01w,F,187,86,1977-06-05
whittje01w,C,195,79,1973-09-05
whittkh01w,F,185,83,1986-08-05
wickssu01w,F,190,86,1966-11-26
widemja01w,G,167,61,1975-10-16
wiggica01w,G,180,69,1987-02-14
wilkeda01w,G,165,54,1969-02-27
wilkibr01w,C,190,83,1983-06-15
williad01w,F-C,195,77,1977-02-15
willian01w,G,182,67,1983-07-21
willibe01w,G,175,65,1965-11-09
willide01w,G,172,72,1972-09-23
williki01w,G,167,61,1974-10-14
willile01w,F,182,90,1981-02-10
willile02w,G-F,180,70,1979-07-04
willili01w,G,180,77,1984-06-13
willina01w,F-C,187,95,1970-11-30
williri01w,G,167,61,1976-01-14
williri02w,G,170,74,1990-05-28
willisa01w,G-F,182,69,1973-09-24
willish01w,G,167,61,1980-04-14
willita01w,G,180,77,1974-07-23
willito01w,G,172,62,1982-01-11
williwe01w,G,170,63,1978-11-18
wilsoam01w,F,180,79,1977-02-06
wirthch01w,F,185,83,1987-04-18
wisdoli01w,F,187,84,1986-05-26
witheso01w,G,177,65,1969-07-06
wojtaju01w,G-F,182,79,1989-04-09
wolteka01w,C,200,102,1975-08-15
wolvean01w,F-C,190,92,1978-12-08
woodaly01w,G,182,72,1959-08-12
woodki01w,C,193,81,1972-09-16
wooslti01w,G,170,59,1973-04-04
wrighfa01w,G,167,58,1973-01-28
wrighmo01w,G,180,80,1988-07-15
wrighsh01w,F,177,70,1981-09-21
wrighta01w,G,180,74,1983-11-20
wyckobr01w,F,185,83,1980-03-30
wynneda01w,F,187,79,1975-02-02
yamasli01w,G,185,86,1980-06-02
yasenco01w,G,182,72,1973-12-05
yilmane01w,F-C,193,87,1980-06-06
youngca01w,G,175,79,1969-07-28
youngso01w,F,185,74,1983-12-15
youngta01w,F,187,75,1986-10-30
zakalok01w,C,198,78,1977-12-18
zarafr01w,G,177,66,1976-12-08
zellosh01w,G,177,70,1986-08-28
zhengha01w,C,203,115,1967-03-07
zirkozu01w,G,175,65,1980-06-06
zollsh01w,G,170,67,1986-07-11
